name,operation,x,y,z,height_relative,height_absolute
A,S28,682692.671,257054.268,422.048,4,426.048
B,S28,682694.735,257084.033,422.29900000000004,4,426.29900000000004
C,S28,682696.7459999999,257113.056,421.51599999999996,4,425.51599999999996
D,S28,682701.3359999999,257166.29100000003,420.77099999999996,4,424.77099999999996
E,S28,683145.085,256841.02800000002,419.95599999999996,4,423.95599999999996
F,S28,683492.5079999999,256867.522,421.24300000000005,4,425.24300000000005
G,S28,683048.67,256900.02300000002,420.541,4,424.541
H,S28,683234.204,256696.056,420.191,4,424.191
I,L14,681549.953,260838.32100000003,440.093,4,444.093
J,L14,681568.555,260851.915,439.926,4,443.926
K,L14,681590.0390000001,260868.78399999999,439.031,4,443.031
L,L14,681617.4809999999,260890.253,438.434,4,442.434
M,L14,681496.485,261150.268,435.276,4,439.276
N,L14,681116.19,260951.95,422.69,4,426.69
O,L14,681179.8620000001,260531.944,426.042,4,430.042
Q,S16,684507.115,255203.38,422.97,4,426.97
R,S16,684525.587,255212.896,423.163,4,427.163
S,S16,684540.9029999999,255220.695,423.144,4,427.144
T,S16,684568.541,255234.908,423.295,4,427.295
U,S16,684284.503,255413.34,421.048,4,425.048
V,S16,683956.656,256043.89800000002,422.139,4,426.139
W,S16,683721.0009999999,256482.516,422.764,4,426.764
X,S16,684596.7159999999,255249.328,423.781,4,427.781
